TECH;CLASS;PRECISION;RECALL;F1
TAPON-HF;http://schema.org/date;1;1;1
TAPON-HF;http://www.aktors.org/ontology/portal#has-grant-value;1;1;1
TAPON-HF;http://www.geonames.org/ontology#Country;1;0.047619048;0.090909091
TAPON-HF;http://www.aktors.org/ontology/portal#month-of;0.972972973;0.87804878;0.923076923
TAPON-HF;http://schema.org/year;0.111111111;1;0.2
TAPON-HF;http://purl.org/NET/c4dm/timeline.owl#end;0.111111111;0.090909091;0.1
TAPON-HF;http://www.aktors.org/ontology/portal#has-email-address;1;1;1
TAPON-HF;http://xmlns.com/foaf/0.1/name;1;0.047619048;0.090909091
TAPON-HF;http://edubase.rkbexplorer.com/id/ISPRIMARY;1;1;1
TAPON-HF;http://www.aktors.org/ontology/portal#Person;1;1;1
TAPON-HF;none;1;1;1
TAPON-HF;http://xmlns.com/foaf/0.1/page;1;1;1
TAPON-HF;http://purl.org/NET/c4dm/timeline.owl#Interval;1;1;1
TAPON-HF;http://edubase.rkbexplorer.com/id/TOWN;1;0.142857143;0.25
TAPON-HF;http://www.aktors.org/ontology/portal#year-of;1;0.756097561;0.861111111
TAPON-HF;http://schema.org/cfdaNumber;1;1;1
TAPON-HF;http://purl.org/NET/c4dm/timeline.owl#start;0.2;0.181818182;0.19047619
TAPON-HF;http://purl.org/prog/Affiliation;1;1;1
TAPON-HF;http://tdg.org/vocabularies/dblp_src#publishedIn;1;0.571428571;0.727272727
TAPON-HF;http://schema.org/dunsNumber;1;0.666666667;0.8
TAPON-HF;http://tdg.org/vocabularies/dblp/src#title;1;0.047619048;0.090909091
TAPON-HF;http://purl.org/dc/terms/title;1;1;1
TAPON-HF;http://tdg.org/vocabularies/dblp_src#Author;1;1;1
TAPON-HF;http://xmlns.com/foaf/0.1/givenName;1;0.238095238;0.384615385
TAPON-HF;http://www.aktors.org/ontology/portal#has-ISBN-number;1;0.111111111;0.2
TAPON-HF;http://xmlns.com/foaf/0.1/homepage;1;1;1
TAPON-HF;http://www.aktors.org/ontology/support#year-of;1;0.111111111;0.2
TAPON-HF;http://tdg.org/vocabularies/dblp_src#Article;1;0.047619048;0.090909091
TAPON-HF;http://www.aktors.org/ontology/support#Calendar-Date;1;1;1
TAPON-HF;http://schema.org/awardAgencyCode;1;1;1
TAPON-HF;http://tdg.org/vocabularies/dblp_src#date;1;0.523809524;0.6875
TAPON-HF;http://www.aktors.org/ontology/portal#has-title;1;0.111111111;0.2
TAPON-HF;http://edubase.rkbexplorer.com/id/SCHNAME;1;0.80952381;0.894736842
TAPON-HF;http://schema.org/transType;1;1;1
TAPON-HF;http://www.aktors.org/ontology/support#has-pretty-name;1;0.111111111;0.2
TAPON-HF;http://schema.org/University;1;0.047619048;0.090909091
TAPON-HF;http://schema.org/phone;1;0.80952381;0.894736842
TAPON-HF;http://schema.org/name;0.144366197;1;0.252307692
TAPON-HF;http://www.okkam.org/ontology/restaurant2.owl#city;1;0.619047619;0.764705882
TAPON-HF;http://www.aktors.org/ontology/portal#full-name;1;0.625;0.769230769
